Bus No.,Source,Destination
GL90,Kendriya Terminal,Rohini Sector 16
GL22,New Delhi Railway Station Gate 2,Anand Vihar ISBT (Viveka Nand ISBT)
GL23,ISBT / Kashmiri Gate,Anand Vihar ISBT (Viveka Nand ISBT)
GL23Cluster,ISBT Maharana Pratap Bus (T),Anand Vihar ISBT (Viveka Nand ISBT)
GL32,Karampura Terminal,Noida Sector 34 U.P. Roadways Terminal
GL91,Shivaji Stadium,Mundka
RL75,New Delhi Railway Station Gate 2,Dwarka Sector 14 Metro Station
RL77,New Delhi Railway Station Gate 2,Mangla Puri
RL77 Cluster,New Delhi Railway Station Gate 2,Mangla Puri Terminal
RL77 Extn.,New Delhi Railway Station Gate 2,Dawarka Sector 19 (Pocket 2)
RL77A,New Delhi Railway Station Gate 2,Dawarka Sector 18B
RL77B,New Delhi Railway Station Gate 2,Dwarka More Metro Station
RL79,New Delhi Railway Station Gate 2,Dawarka Sector 23
7,Kendriya Terminal,Kewal Park MCD Flats
8,Badarpur Border,Noida Phase 2
12,ISBT / Kashmiri Gate,Bawana
17,Old Delhi Railway Station,Ramjanpur Village
19,Nizamuddin Railway Station,Jahangir Puri E-Block
23,Ajmeri Gate,Hindu Rao Hospital
26,Mukherjee Nagar Bandh,Sewa Nagar Railway X-ing
33,Bhajanpura,Noida Sector 37
33A,Badarpur Border,Shashi Chowk / Sector 36/37 Noida
33C,Chauhan Patti,Anand Vihar ISBT (Viveka Nand ISBT)
33LSTL,Dilshad Garden Depot (New Seemapuri),Mayur Vihar Phase III Terminal / Paper Market
33LnkSTL,Dilshad Garden Depot (New Seemapuri),Anand Vihar ISBT (Viveka Nand ISBT)
34,Mehrauli Terminal,Noida Sector 32
39,Jheel,Tri Nagar Jai Mata Market
40,L.N. Temple,Badarpur Border
44,ISBT / Kashmiri Gate,Okhla
47,Inder Puri JJ Colony,Central Work Shop II Tehkhand
47A,Inder Puri JJ Colony,Central Work Shop II Tehkhand
47ACL,Inder Puri JJ Colony,Tehkhand Depot DTC
47ALnkSTL,Tehkhand Depot DTC,Okhla Depot IV CWS II
47ASTL2,J.L.N. Stadium (Sunhari Pullah Nallah Parking),Lajpat Nagar
53,R.K. Puram Sector 1,Nand Nagari Community Centre
56,New Delhi Railway Station Gate 2,C.P.W.D. Colony Vasant Vihar
61,G.T.B. Nagar,Jharoda Village
66,J.L.N. Stadium (C.G.O. Complex),Vasant Kunj C-9
70,Anand Vihar ISBT (Viveka Nand ISBT),Naraina Vihar
71,ISBT / Kashmiri Gate,Inder Puri JJ Colony
72,ISBT / Kashmiri Gate,Najafgarh
73,Anand Vihar ISBT (Viveka Nand ISBT),Hari Nagar Clock Tower
73 Cluster,Anand Vihar ISBT (Viveka Nand ISBT),Hari Nagar Clock Tower
73LnkSTL,Anand Vihar ISBT (Viveka Nand ISBT),Rajghat Cluster Depot
78,Azadpur Terminal,Inder Puri JJ Colony
78 Cluster,Azadpur Terminal,Inder Puri (Krishi Kunj)
81,Inder Puri JJ Colony,Mukherjee Nagar Bandh
82,ISBT / Kashmiri Gate,Janak Puri D-Block
85,Anand Vihar ISBT (Viveka Nand ISBT),Punjabi Bagh Terminal
85 Cluster,Anand Vihar ISBT (Viveka Nand ISBT),Punjabi Bagh Terminal
85 Extn.,Anand Vihar ISBT (Viveka Nand ISBT),West Enclave
89,Tri Nagar Jai Mata Market,R.K. Puram Sector 1
91,Kendriya Terminal,Tri Nagar Jai Mata Market
92,Anand Vihar ISBT (Viveka Nand ISBT),Gulabi Bagh DDA Flats
94,Old Delhi Railway Station,Sultan Puri
100,Kendriya Terminal,Adarsh Nagar
100A,Kendriya Terminal,Badli Railway Station
100 Extn.,Kendriya Terminal,Sameypur
101,Nizamuddin Railway Station,Swaroop Nagar JJ Colony GT Road
101BCluster,Old Delhi Railway Station,Swaroop Nagar JJ Colony GT Road
101ExtCluster,Old Delhi Railway Station,Swaroop Nagar JJ Colony GT Road
102,Old Delhi Railway Station,Rohini Sector 22 (Lakhi Ram Park)
102 STL,Madhuban Chowk,Inder Enclave
103,Fatehpuri,Narela Terminal
103 Extn.,Tri Nagar Jai Mata Market,Narela Industrial Area E-Block
103 STL,Azadpur Terminal,A7 Raja Harish Chandra Hospital Narela
104,Shivaji Stadium,Jharoda Village
105,ISBT / Kashmiri Gate,Mukhmel Pur
106,Fatehpuri,Qutubgarh Border
106A,Old Delhi Railway Station,Bawana
107,Fatehpuri,Katewara Village
108,Balak Ram Hospital,Hari Nagar Clock Tower
108Cluster,Nehru Vihar,Hari Nagar Clock Tower
108STLCluster,BBM II Depot,Nehru Vihar
106A,Old Delhi Railway Station,Fatehpuri
109,Azadpur Terminal,Bankner Village
110,Kendriya Terminal,Sangam Vihar
112,Fatehpuri,Shafiabad Border
113,Fatehpuri,Sanoth Village
113 Extn.,Azadpur Terminal,Ghoga Village
114,Fatehpuri,Qutubgarh Border
114 Etxn.,Azadpur Terminal,Jat Khor
114A,Azadpur Terminal,Auchandi Border
114B,Azadpur Terminal,Katewara Village
114+182ACluster,Kanjhawla Depot,ISBT / Kashmiri Gate
114+990Cluster,Shivaji Stadium,Kanjhawla Depot
114+990ECluster,Shivaji Stadium,Kanjhawla Depot
114ST+901D Cluster,Kanjhawla Depot,Kamla Market
115,Old Delhi Railway Station,Ashok Vihar Ph-II
118 Extn.,Mori Gate Terminal,Mayur Vihar Ph-III
119,Fatehpuri,Bajitpur Village
120,Kendriya Terminal,Narela Terminal
120A,Mori Gate Terminal,Narela Terminal
120B,New Delhi Railway Station Gate 2,Narela Terminal
123,Mori Gate Terminal,Harewali Border
124,Fatehpuri,Mukhmel Pur
125,Fatehpuri,Palla
127,Fatehpuri,Haider Pur Village
128,Mori Gate Terminal,Khera Khurd
129,Old Delhi Railway Station,Jhingola Village
130,Old Delhi Railway Station,Ghoga Village
131,Fatehpuri,Lampur Border
133,Mori Gate,Narela Terminal
134,ISBT / Kashmiri Gate,Ibrahim Pur
135,Delhi Secretariat,Narela Terminal
136,Fatehpuri,Ghoga Village
137,Fatehpuri,Holambi Kalan
138,Fatehpuri,Hamid Pur
140,Mori Gate Terminal,Shahbad Dairy
142,Old Delhi Railway Station,Jahangir Puri E-Block
142A,Narela Terminal,Jahangir Puri E-Block
143,Anand Vihar ISBT (Viveka Nand ISBT),Keshav Nagar (Mukti Ashram Nathupura)
144,Fatehpuri,Singhu School
146,Fatehpuri,Hiranki Village
147,Fatehpuri,Tiggi Pur
148,Fatehpuri,Tikri Khurd
149,Fatehpuri,Tajpur Kalan
154,Mori Gate Terminal,Dehisra Border
157,Palika Kendra,Ashok Vihar Ph-II
159,Inder Puri,Jahangir Puri E-Block
160,Kendriya Terminal,Haider Pur
162,G.T.K. Depot,Tiggi Pur
163,Anand Vihar ISBT (Viveka Nand ISBT),Narela Terminal
164,Shivaji Stadium,Saraswati Vihar
165,Anand Vihar ISBT (Viveka Nand ISBT),Shahbad Dairy
166,Nizamuddin Railway Station,BH Block Shalimar Bagh
169,ISBT / Kashmiri Gate,Katewara Village
169SPL TRIP,Maurice Nagar,Katewara Village
171,Shivaji Stadium,Holambi Kalan JJ Colony
172,New Delhi Railway Station Gate 2,Holambi Kalan JJ Colony
173,J.L.N. Stadium (C.G.O. Complex),Narela Sector A 5-6
174 STL,Azadpur Terminal,Jonti Border
175,Fatehpuri,Lampur Border
176,Mori Gate Terminal,Palla
177,Mori Gate Terminal,Katewara Village
179,Azadpur Terminal,Narela Terminal
180,Kendriya Terminal,Baba Colony Sant Nagar (Shiv Mandir Burari)
181,Nizamuddin Railway Station,Jahangir Puri E-Block
181A,Nizamuddin Railway Station,Jahangir Puri E-Block
181ACluster,Nizamuddin Railway Station,Jahangir Puri E-Block
182A,ISBT / Kashmiri Gate,Sukhbir Nagar
182ACluster,ISBT / Kashmiri Gate,Sukhbir Nagar
