service_id,route_id,trip_id,direction_id,trip_headsign,block_id
SA,BLUE,SA_100585,1,Nagole,SA_30201
SA,BLUE,SA_100586,0,Raidurg,SA_31401
SA,BLUE,SA_100587,1,Nagole,SA_31401
SA,BLUE,SA_100588,0,Raidurg,SA_30601
SA,BLUE,SA_100589,1,Nagole,SA_30601
SA,BLUE,SA_100590,0,Raidurg,SA_31501
SA,BLUE,SA_100591,1,Nagole,SA_31501
SA,BLUE,SA_100592,0,Raidurg,SA_30701
SA,BLUE,SA_100593,1,Nagole,SA_30701
SA,BLUE,SA_100594,0,Raidurg,SA_31601
SA,BLUE,SA_100595,1,Nagole,SA_31601
SA,BLUE,SA_100596,0,Raidurg,SA_30801
SA,BLUE,SA_100597,1,Nagole,SA_30801
SA,BLUE,SA_100598,0,Raidurg,SA_31701
SA,BLUE,SA_100599,1,Nagole,SA_31701
SA,BLUE,SA_100600,0,Raidurg,SA_30901
SA,BLUE,SA_100601,1,Nagole,SA_30901
SA,BLUE,SA_100602,0,Raidurg,SA_31801
SA,BLUE,SA_100603,1,Nagole,SA_31801
SA,BLUE,SA_100604,0,Raidurg,SA_31001
SA,BLUE,SA_100605,1,Nagole,SA_31001
SA,BLUE,SA_100606,0,Raidurg,SA_31101
SA,BLUE,SA_100607,1,Nagole,SA_31101
SA,BLUE,SA_100608,0,Raidurg,SA_31901
SA,BLUE,SA_100609,1,Nagole,SA_31901
SA,BLUE,SA_100610,0,Raidurg,SA_30101
SA,BLUE,SA_100611,1,Nagole,SA_30101
SA,BLUE,SA_100612,0,Raidurg,SA_31201
SA,BLUE,SA_100613,1,Nagole,SA_31201
SA,BLUE,SA_100614,0,Raidurg,SA_8101
SA,BLUE,SA_100615,1,Nagole,SA_8101
SA,BLUE,SA_100616,0,Raidurg,SA_30201
SA,BLUE,SA_100617,1,Nagole,SA_30201
SA,BLUE,SA_100618,0,Raidurg,SA_30301
SA,BLUE,SA_100619,1,Nagole,SA_30301
SA,BLUE,SA_100620,0,Raidurg,SA_32001
SA,BLUE,SA_100621,1,Nagole,SA_32001
SA,BLUE,SA_100622,0,Raidurg,SA_30401
SA,BLUE,SA_100623,1,Nagole,SA_30401
SA,BLUE,SA_100624,0,Raidurg,SA_32101
SA,BLUE,SA_100625,1,Nagole,SA_32101
SA,BLUE,SA_100626,0,Raidurg,SA_31301
SA,BLUE,SA_100627,1,Nagole,SA_31301
SA,BLUE,SA_100628,0,Raidurg,SA_30501
SA,BLUE,SA_100629,1,Nagole,SA_30501
SA,BLUE,SA_100630,0,Raidurg,SA_31401
SA,BLUE,SA_100631,1,Nagole,SA_31401
SA,BLUE,SA_100632,0,Raidurg,SA_30601
SA,BLUE,SA_100633,1,Nagole,SA_30601
SA,BLUE,SA_100634,0,Raidurg,SA_31501
SA,BLUE,SA_100635,1,Nagole,SA_31501
SA,BLUE,SA_100636,0,Raidurg,SA_30701
SA,BLUE,SA_100637,1,Nagole,SA_30701
SA,BLUE,SA_100638,0,Raidurg,SA_31601
SA,BLUE,SA_100639,1,Nagole,SA_31601
