Name of Institutes ,City,URL 
Central Institute of Road Transport ,Thane ,www.cirtindia.com 
Central Poultry Development Organization,Thane ,www.cpdonrchd.gov.in 
Aumbai ,Thane ,
Central Water & Power Research Station ,Thane ,www.cwprs.gov.in 
Centre for Development of Advanced,Thane ,www.pune.cdac.in 
Computing E-Governance Group Pune ,Thane ,
Centre for Development of Advanced,Thane ,www.cdacmumbai.in 
Computing Juhu ,Thane ,
Centre for Development of Advanced,Thane ,www.cdacmumbai.in 
Computing Mumbai ,Thane ,
Centre for Development of Advanced,Thane ,www.cdacmumbai.in 
Computing Navi Mumbai ,Thane ,
Centre for Development of Advanced,Thane ,www.cdac.in 
Computing Pune ,Thane ,
Centre for Excellence in Basic Sciences ,Thane ,www.cbs.ac.in 
Centre for Materials for Electronics,Thane ,www.cmet.gov.in 
Technology Pune ,Thane ,
CSIR Unit for Research & Development of,Thane ,www.urdip.res.in 
Information Products ,Thane ,
Defence Institute of Advanced Technology ,Thane ,www.diat.ac.in 
Directorate of Onion and Garlic Research ,Thane ,www.dogr.res.in 
Enterovirus Research Centre ,Thane ,www.icmr.nic.in 
Family Welfare Training & Research Centre ,Thane ,www.fwtrc.gov.in 
Genetic Research Centre ,Thane ,www.icmr.nic.in 
High Energy Materials Research Institute ,Thane ,www.drdo.org 
Homi Bhabha National Institute ,Thane ,www.hbni.ac.in 
Indian Bureau of Mines ,Thane ,www.ibm.nic.in 
Indian Institute of Geomagnetism ,Thane ,www.iigm.res.in 
Indian Institute of Packaging ,Thane ,www.iip-in.com 
Indian Institute of Tropical Meteorology ,Thane ,www.tropmet.res.in 
Indian Rubber Manufacturers Research,Thane ,www.irmra.org 
Association ,Thane ,
Industrial Research & Counsultancy Centre ,Thane ,www.ircc.iitb.ac.in 
Institute for Design of Electrical Measuring,Thane ,www.idemi.org 
Instruments ,Thane ,
Institute of Engineering and Ocean,Thane ,www.ongcindia.com 
Technology ,Thane ,
Institute of Oil and Gas Production,Thane ,www.ongcindia.com 
"Technology, ONGC ",Thane ,
Jawaharlal Nehru Aluminium Research,Thane ,www.jnarddc.gov.in 
