Name,Ward,Address,Landline Nos.,Class from,Class to,School Type,Website,Email,BMC Dept.,Twitter Handle,Direction,
,,,,,,,,,,,,
ABDULLA QURESHI HINDI LP,K/E,"Patelwadi , Behrambaug, Jogeshwari West",022-26731708,1,4,3-Co-educational,education.maharashtra.gov.in/saral/27220400440,rajesh4528319@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.1410119997776,72.8366369998367",
ABHINAV DNYAN MANDIR,M/E,Sion Trombay Rd Datta Nagar Trombay Mum 88,022-0,1,4,3-Co-educational,,sampatsakpal1965@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0359850003263,72.9466579997836",
ABHINAV HINDI SCHOOL,S-WARD,Lata Sadan Farid Nagar Pratap Nagar Road Bhandup West Mumbai 400078,022-25944906,1,4,3-Co-educational,www.abhinav.com,abhinavhindividyalaya1@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.141046000723,72.9241800002928",
ABHINAV LITTLE ANGES PRIMARY ENGLISH SCHOOL,R / C,123 124 Abhinav Nagar Borivali E MUM 66,022-28973935,1,4,3-Co-educational,,abhinavangels123@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.2314009996214,72.8589479998862",
ABHINAV PRATHMIK SHALA,F/ N -WARD,lakhamasi nappu road hindu colony mum 400014,022-24132334,1,4,3-Co-educational,,abhinavprathamikshaladadar@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0208660001744,72.8487209994459",
ABHYUDAY VIDYALAYA PARSHI WADI,N WARD,"PARSIWADI,GHATKOPAR,MUMBAI-86",022-0,1,4,3-Co-educational,,abhyudayvidyalay532@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0908010001531,72.9001869996",
ABHYUDAYA EDUCATION SOCIETY'S ENG PRIMARY SCHOOL,F/S - WARD,"Abhyudaya Nagar, kalachouki, mumbai 400 033",022-24708227,1,4,3-Co-educational,www.aesoc.org.in,aesenglishprimary@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9906120002766,72.8438869996663",
ABHYUDAYA EDUCATION SOCIETY'S MARATHI PRIMARY SCHOOL,F/S - WARD,"Abhyudaya Nagar, Kalachowki, Mumbai - 400 033",022-24707205,1,4,3-Co-educational,www.aesoc.org.in,aes27221000134@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=18.9908279998164,72.8445250003993",
ADARSH VIDYA MANDIR HINDI SCHOOL,L- WARD,KURLA MUMBAI WEST 400070,022-25030630,1,4,3-Co-educational,,adarshvidyamandirkurla81@gmail.com,Education Dept,@mybmcedu,"https://www.google.com/maps/search/?api=1&query=19.0773859999798,72.8797010001549",
